quoteText,bookTitle,bookAuthor,tags
Happiness is a choice you make and a skill you develop.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Don’t aim at success. The more you aim at it and make it a target, the more you are going to miss it. For success, like happiness, cannot be pursued. . . . Happiness must happen, and the same holds for success: you have to let it happen by not caring about it. I want you to listen to what your conscience commands you to do and go on to carry it out to the best of your knowledge. Then you will live to see that in the long-run—in the long-run, I say!—success will follow you precisely because you had forgotten to think about it.” —Viktor E. Frankl, Man’s Search for Meaning",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
The means of learning are abundant—it’s the desire to learn that’s scarce.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"courage was more important than confidence. When you are operating out of courage, you are saying that no matter how you feel about yourself or your opportunities or the outcome, you are going to take a risk and take a step toward what you want. You are not waiting for the confidence to mysteriously arrive. I now believe that confidence is achieved through repeated success at any endeavor.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"I’ve realized that instead of following the trends, you want to identify the trends but not follow them. It’s good to recognize trends, but if you follow them, you get sucked into them, and then you also fall with the trend.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"If you think you are too small to be effective, you have never been in the dark with a mosquito.”—Betty Reese",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Many students come to me full of wonderful intentions hoping to change the world; they plan to spend their time helping the poor and disadvantaged. I tell them to first graduate and make a lot of money, and only then figure out how best to help those in need. Too often students can’t meaningfully help the disadvantaged now, even if it makes them feel good for trying to. I have seen so many former students in their late 30s and 40s struggling to make ends meet. They spent their time in college doing good rather than building their careers and futures. I warn students today to be careful how they use their precious time and to think carefully about when is the right time to help. It’s a well-worn cliché, but you have to help yourself before you help others. This is too often lost on idealistic students. I am often asked whether one should",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
Self-sufficiency is another word for poverty.” Matt Ridley TW: @,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Show up in every moment like you’re meant to be there, because your energy precedes anything you could possibly say.” Marie Forleo",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"People think focus means saying yes to the thing you’ve got to focus on. But that’s not what it means at all. It means saying no to the hundred other good ideas that there are. You have to pick carefully. I’m actually as proud of the things we haven’t done as the things I have done. Innovation is saying no to 1,000 things.” –Steve Jobs",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Einstein said, “If I had an hour to solve a problem, I’d spend 55 minutes thinking about the problem and five minutes thinking about solutions.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Mastery is a journey, not a destination. True masters never believe they have attained mastery. There is always more to be learned and greater skill to be developed.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"The disease of our times is that we live on the surface. We’re like the Platte River, a mile wide and an inch deep. I always say, “If you want to become a billionaire, invent something that will allow people to indulge their own Resistance.” Somebody did invent it. It’s called the Internet. Social media. That wonderland where we can flit from one superficial, jerkoff distraction to another, always remaining on the surface, never",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"I believe that the key to self-sufficiency is breaking free of the mindset that someone, somewhere, owes you something or will come to your rescue.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"What are bad recommendations you hear in your profession or area of expertise? If you put ten people in a room and they have to choose an ice cream flavor, they’re gonna arrive at vanilla. There is always constant pressure to conform. But originality only happens on the edges of reality. And working on that line is always dangerous because it’s only a short step to disconnected insanity. So resist temptations and advice to play to the middle. The best work always comes from pushing the edge.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"If you could have a gigantic billboard anywhere with anything on it, what would it say and why? “Discipline equals freedom.” Everyone wants freedom. We want to be physically free and mentally free. We want to be financially free and we want more free time. But where does that freedom come from? How do we get it? The answer is the opposite of freedom. The answer is discipline. You want more free time? Follow a more disciplined time-management system. You want financial freedom? Implement long-term financial discipline in your life. Do you want to be physically free to move how you want, and to be free from many health issues caused by poor lifestyle choices? Then you have to have the discipline to eat healthy food and consistently work out. We all want freedom. Discipline is the only way to get it. What is one of the best or most worthwhile investments you’ve ever made? Ever since I have had a home with a garage, I have had a gym in my garage. It is one of the most important factors in allowing me to work out every day regardless of the chaos and mayhem life delivers. The convenience of being able to work out any time, without packing a gym bag, driving, parking, changing, then waiting for equipment . . . The home gym is there for you. No driving. No parking. No little locker to cram your gear into. In your home gym, you never wait for equipment. It is waiting for you. Always. And, perhaps most important: You can listen to whatever music you want, as loud as you want. GET SOME.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"And if all else fails, I try to obey this message I got in a Chinese fortune cookie (which I have since taped to my laptop): “Avoid compulsively making things worse.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Life punishes the vague wish and rewards the specific ask. After all, conscious thinking is largely asking and answering questions in your own head.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
An expert is a person who has made all the mistakes that can be made in a very narrow field.” –Niels Bohr,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"These individuals have riches just as we say that we ‘have a fever,’ when really the fever has us.” –Seneca Roman Stoic philosopher, famed playwright",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it; and this you have the power to revoke at any moment.” –Marcus Aurelius",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"If you find yourself in a fair fight, you didn’t plan your mission properly.” –Colonel David Hackworth",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Busy is a decision.” Here’s why: Of the many, many excuses people use to rationalize why they can’t do something, the excuse “I am too busy” is not only the most inauthentic, it is also the laziest. I don’t believe in “too busy.” Like I said, busy is a decision. We do the things we want to do, period. If we say we are too busy, it is shorthand for “not important enough.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
A schedule defends from chaos and whim. It is a net for catching days.” –Annie Dillard,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Diversity in counsel, unity in command.” –Cyrus the Great",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
Losing makes you think in ways victories can’t. You begin asking questions instead of feeling like you have the answers. Questions open up the doors to so many possibilities.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"When you feel overwhelmed or unfocused, what do you do? I change my physiology. If I am near waves, I go surf them. If not, a short, intense kettlebell workout, a bike ride, a swim, a cold shower or ice plunge, Wim Hof or heart rate variability breathing [see Adam Robinson, for a description]. It’s remarkable how the mind follows the body.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"What advice would you give to a smart, driven college student about to enter the “real world”? What advice should they ignore? [My advice:] Pursue every project, idea, or industry that genuinely lights you up, regardless of how unrelated each idea is, or how unrealistic a long-term career in that field might now seem. You’ll connect the dots later. Work your fucking ass off and develop a reputation for going above and beyond in all situations. Do whatever it takes to earn enough money, so that you can go all in on experiences or learning opportunities that put you in close proximity to people you admire, because proximity is power. Show up in every moment like you’re meant to be there, because your energy precedes anything you could possibly say. Ignore the advice to specialize in one thing, unless you’re certain that’s how you want to roll. Ignore giving a shit about what other people think about your career choices or what you do for a living—especially if what you do for a living funds your career choices. Ignore the impulse to dial down your enthusiasm for fear it’ll be perceived as unprofessional. And especially for women, ignore societal and familial pressures to get married and have kids.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"The great majority of that which gives you angst never happens, so you must evict it. Don’t let it live rent-free in your brain.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"All 250 + episodes to date can be found at tim.blog/ podcast and itunes.com/ timferriss Jamie Foxx on Workout Routines, Success Habits, and Untold Hollywood Stories (# 124)—tim.blog/ jamie The Scariest Navy SEAL I’ve Ever Met . . . and What He Taught Me (# 107)—tim.blog/ jocko Arnold Schwarzenegger on Psychological Warfare (and Much More) (# 60)—tim.blog/ arnold Dom D’Agostino on Fasting, Ketosis, and the End of Cancer (# 117)—tim.blog/ dom2 Tony Robbins on Morning Routines, Peak Performance, and Mastering Money (# 37)—tim.blog/ tony How to Design a Life—Debbie Millman (# 214)—tim.blog/ debbie Tony Robbins—On Achievement Versus Fulfillment (# 178)—tim.blog/ tony2 Kevin Rose (# 1)—tim.blog/ kevinrose [If you want to hear how bad a first episode can be, this delivers. Drunkenness didn’t help matters.] Charles Poliquin on Strength Training, Shredding Body Fat, and Increasing Testosterone and Sex Drive (# 91)—tim.blog/ charles Mr. Money Mustache—Living Beautifully on $ 25–27K Per Year (# 221)—tim.blog/ mustache Lessons from Warren Buffett, Bobby Fischer, and Other Outliers (# 219)—tim.blog/ buffett Exploring Smart Drugs, Fasting, and Fat Loss—Dr. Rhonda Patrick (# 237)—tim.blog/ rhonda 5 Morning Rituals That Help Me Win the Day (# 105)—tim.blog/ rituals David Heinemeier Hansson: The Power of Being Outspoken (# 195)—tim.blog/ dhh Lessons from Geniuses, Billionaires, and Tinkerers (# 173)—tim.blog/ chrisyoung The Secrets of Gymnastic Strength Training (# 158)—tim.blog/ gst Becoming the Best Version of You (# 210)—tim.blog/ best The Science of Strength and Simplicity with Pavel Tsatsouline (# 55)—tim.blog/ pavel Tony Robbins (Part 2) on Morning Routines, Peak Performance, and Mastering Money (# 38)—tim.blog/ tony How Seth Godin Manages His Life—Rules, Principles, and Obsessions (# 138)—tim.blog/ seth The Relationship Episode: Sex, Love, Polyamory, Marriage, and More (with Esther Perel) (# 241)—tim.blog/ esther The Quiet Master of Cryptocurrency—Nick Szabo (# 244)—tim.blog/ crypto Joshua Waitzkin (# 2)—tim.blog/ josh The Benevolent Dictator of the Internet, Matt Mullenweg (# 61)—tim.blog/ matt Ricardo Semler—The Seven-Day Weekend and How to Break the Rules (# 229)—tim.blog/ ricardo",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"The genuine love for reading itself, when cultivated, is a superpower. We live in the age of Alexandria, when every book and every piece of knowledge ever written down is a fingertip away. The means of learning are abundant—it’s the desire to learn that’s scarce.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"I have had so many spectacular failures, but looking back, I can see how each of them led me a little closer to doing what I actually wanted to do. Years before I was ready to write a book of my own, I bungled two opportunities to co-write cookbooks with other people. These mistakes haunted me, and I was sure I’d never get to write another book. But I waited, and I persisted, and after 17 years I wrote the book I’d always dreamt of.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"even. By the time things were done, I was exhausted and depressed and just really, really unhappy. We all were. But it didn’t have to be that way. That experience taught me to take agency in my own professional narratives, and that endings don’t have to be failures, especially when you choose to end a project or shut down a business. Shortly after the restaurant closed, I started a food market as a small side project, and it ended up being wildly successful. I had more press and customers than I could handle. I had investors clamoring to get in on the action. But all I wanted to do was write. I didn’t want to run a food market, and since my name was all over it, I didn’t want to hand it off to anyone else, either. So I chose to close the market on my own terms, and I made sure that everyone knew it. It was such a positive contrast to the harsh experience of closing the restaurant. I’ve learned to envision the ideal end to any project before I begin it now—even the best gigs don’t last forever. Nor should they.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Tim’s TED Talk, “Inside the Mind of a Master Procrastinator,",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
I’ve even been known to go to bed while my guests are still partying.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
The difference between winning and losing is most often not quitting.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"As I detailed in my TED Talk, I think we all have two main characters in our heads: a rational decision-maker (the adult in your head) and an instant gratification monkey (the child in your head who doesn’t care about consequences and just wants to maximize the ease and pleasure of the current moment). For me, these two are in a constant battle, and the monkey usually wins. But I’ve found that if I turn life into a yin-yang situation—e.g., “work till 6 today, then no work till tomorrow”—it’s much easier to control the monkey in the work period. Knowing he has something fun to look forward to later makes him much more likely to cooperate. In my old system, the monkey was in a constant state of rebellion against a system that never really gave him any dedicated time.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Don’t pay any attention to what they write about you, just measure it in inches.”—Andy Warhol",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Follow your intellectual curiosity over whatever is “hot” right now. If your curiosity ever leads you to a place where society eventually wants to go, you’ll get paid extremely well.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"The single book that has influenced me most is probably the last book in the world that anybody is gonna want to read: Thucydides’ History of the Peloponnesian War. This book is dense, difficult, long, full of blood and guts. It wasn’t written, as Thucydides himself attests at the start, to be easy or fun. But it is loaded with hardcore, timeless truths and the story it tells ought to be required reading for every citizen in a democracy. Thucydides was an Athenian general who was beaten and disgraced in a battle early in the 27-year conflagration that came to be called the Peloponnesian War. He decided to drop out of the fighting and dedicate himself to recording, in all the detail he could manage, this conflict, which, he felt certain, would turn out to be the greatest and most significant war ever fought up to that time. He did just that. Have you heard of Pericles’ Funeral Oration? Thucydides was there for it. He transcribed it. He was there for the debates in the Athenian assembly over the treatment of the island of Melos, the famous Melian Dialogue. If he wasn’t there for the defeat of the Athenian fleet at Syracuse or the betrayal of Athens by Alcibiades, he knew people who were there and he went to extremes to record what they told him.Thucydides, like all the Greeks of his era, was unencumbered by Christian theology, or Marxist dogma, or Freudian psychology, or any of the other “isms” that attempt to convince us that man is basically good, or perhaps perfectible. He saw things as they were, in my opinion. It’s a dark vision but tremendously bracing and empowering because it’s true. On the island of Corcyra, a great naval power in its day, one faction of citizens trapped their neighbors and fellow Corcyreans in a temple. They slaughtered the prisoners’ children outside before their eyes and when the captives gave themselves up based on pledges of clemency and oaths sworn before the gods, the captors massacred them as well. This was not a war of nation versus nation, this was brother against brother in the most civilized cities on earth. To read Thucydides is to see our own world in microcosm. It’s the study of how democracies destroy themselves by breaking down into warring factions, the Few versus the Many. Hoi polloi in Greek means “the many.” Oligoi means “the few.” I can’t recommend Thucydides for fun, but if you want to expose yourself to a towering intellect writing on the deepest stuff imaginable, give it a try.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"To avoid criticism, say nothing, do nothing, be nothing.”—Elbert Hubbard",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
Self-esteem is just the reputation that you have with yourself. You’ll always know.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Embrace uncertainty, groundlessness, and fear as the place where you’ll really learn and grow.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
It is fatal to know too much at the outset. Boredom comes as quickly to the traveler who knows his route as the novelist who is over certain of his plot.” –Paul Theroux,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"When his company grew and he ran out of time to interview people himself, he had his employees rate new candidates on a 1–10 scale. The only stipulation was they couldn’t choose 7. It immediately dawned on me how many invitations I was receiving that I would rate as a 7—speeches, weddings, coffees, even dates. If I thought something was a 7, there was a good chance I felt obligated to do it. But if I have to decide between a 6 or an 8, it’s a lot easier to quickly determine whether or not I should even consider it.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"I used to resent obstacles along the path, thinking, “If only that hadn’t happened life would be so good.” Then I suddenly realized, life is the obstacles. There is no underlying path. Our role here is to get better at navigating those obstacles. I strive to find calm, measured responses and to see hindrances as a chance to problem-solve.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"The true soldier fights not because he hates what is in front of him, but because he loves what is behind him.” –G. K. Chesterton English philosopher known as the “prince of paradox” “All happiness depends on a leisurely breakfast.” –John Gunther American journalist, author of Death Be Not Proud “The acquisition of riches has been for many men, not an end, but a change, of troubles.” –Epicurus Ancient Greek philosopher, founder of the school of Epicureanism “To handle yourself, use your head; to handle others, use your heart.” –Eleanor Roosevelt Longest-serving First Lady of the United States, diplomat, and activist",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"What would this look like if it were easy? “This” could be anything. That morning, it was answering a laundry list of big questions. What would this look like if it were easy? is such a lovely and deceptively leveraged question. It’s easy to convince yourself that things need to be hard, that if you’re not redlining, you’re not trying hard enough. This leads us to look for paths of most resistance, often creating unnecessary hardship in the process.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"What makes a river so restful to people is that it doesn’t have any doubt—it is sure to get where it is going, and it doesn’t want to go anywhere else.”—Hal Boyle.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
One wrong person in your circle can destroy your whole future.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"the goal is to connect with your own self, your own soul.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Leonard Cohen is my patron saint. Try “Dance Me to the End of Love” or “Famous Blue Raincoat,” or pretty much anything else he’s ever written, including, of course, “Hallelujah,” his best-known song but really only the tip of the Leonard iceberg! Also: “Hinach Yafah (You Are Beautiful)” by Idan Raichel. It’s a gorgeous song of longing for the beloved, but really it’s about longing in general.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
People say that what we’re all seeking is a meaning for life. I don’t think that’s what we’re really seeking. I think that what we’re seeking is an experience of being alive.” –Joseph Campbell,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
There are many things of which a wise man might wish to be ignorant.” –Ralph Waldo Emerson,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"One of the world’s great investors once said to me, “Tom, what do you consider the number-one failing of CEOs?” After I hemmed and hawed, he said, “They don’t read enough.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
Many a false step was made by standing still.” –Fortune cookie,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
Our fears are always more numerous than our dangers.”—Seneca the Younger,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"I used to resent obstacles along the path, thinking, ‘If only that hadn’t happened life would be so good.’ Then I suddenly realized, life is the obstacles. There is no underlying path.” Janna Levin TW/IG: @jannalevin",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"These individuals have riches just as we say that we ‘have a fever,’ when really the fever has us.” –Seneca",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
No one is qualified to tell you how you experience the world.” Vlad Zamfir,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
No problem can be solved from the same level of consciousness that created it.”—Albert Einstein,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Lose an hour in the morning, chase it all day.”—a Yiddish saying, author unknown",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"there is always a single “source”: the person who took the first risk on a new initiative. That source maintains a unique relationship with the gestalt of the original idea and has an intuitive knowledge of what the right next step for the initiative is, whereas others who join later to help with the execution often lack that intuitive connection to the founder’s original insight. Many organizational tensions and power struggles often revolve around lack of explicit acknowledgment of who the source of the initiative is.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"The genuine love for reading itself, when cultivated, is a superpower. We live in the age of Alexandria, when every book and every piece of knowledge ever written down is a fingertip away. The means of learning are abundant—it’s the desire to learn that’s scarce. Cultivate that desire by reading what you want, not what you’re “supposed to.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
The key to that satisfaction is to reach the nirvana in which love of practice for its own sake (intrinsic) replaces the original goal (extrinsic) as our grail. The antithesis of mastery is the pursuit of quick fixes.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"In other words, you can spend all day undermining other people, and even if you’re right, who cares? Anybody can talk about why something’s bad. Try doing something good.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
Always take jobs for which you are not qualified; that way you will inevitably learn something.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"I aspire to only work with people who I can work with forever, to invest my time in activities that are a joy unto themselves, and to focus on the extremely long term.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"never let a good crisis go to waste. It’s the universe challenging you to learn something new and rise to the next level of your potential. On the other hand, when not in crisis, I consider “my life is great” as a cop-out, a stuck place, where learning is no longer available to us. Which is why you shouldn’t wait for crisis to happen before you take steps to go beyond what you’re capable of seeing on your own.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Wait But Why? [written by Tim Urban] They have a chart of the weeks of your life. I have a wall chart of boxes representing every year of my life: ten years across and nine rows down. Then things are plotted on it, like average life expectancy in the U.S. I always thought it was kind of cool, because it puts time into a visual format, and I’m a visual person.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"I didn’t think my own chart was weird, but in January, I showed it to my team, thinking they’d find it really inspiring and motivating. But people respond to mortality in very different ways. It was the worst meeting I’ve ever run. I don’t think they knew what I was trying to convey. Some people see that as, “Hey, every year is really exciting and valuable,” and some people react with, “Oh wow, I’m gonna die.” It didn’t go over well, so I don’t share that chart anymore. Experiment failed.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
One of my favorite quotes is by Ralph Waldo Emerson: “To laugh often and much; to win the respect of intelligent people and the affection of children . . . to leave the world a bit better . . . to know even one life has breathed easier because you have lived; this is to have succeeded.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
it’s never too late to replace the stories you tell yourself,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"To do what you desire to do, you have all you need.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"there is only one you, and no one can do things exactly the way you do. Never worry about the competition.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"And by “unreasonably effective,” I mean something quite specific: Something is unreasonably effective if it seems to be useful outside the scope of its assumptions, outside the scope of the context in/for which it was developed.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Freedom by Jiddu Krishnamurti. A rationalist’s guide to the perils of the human mind. The “spiritual” book that I keep returning to. Sapiens by Yuval Noah Harari. A history of the human species, with observations, frameworks, and mental models that will have you looking at history and your fellow humans differently. Everything by Matt Ridley. Matt is a scientist, optimist, and forward thinker. Genome, The Red Queen, The Origins of Virtue, The Rational Optimist—they’re all great. How has a failure, or apparent failure, set you up for later success? Do you have a “favorite failure” of yours? Suffering is a moment of clarity, when you can no longer deny the truth of a situation and are forced into uncomfortable change. I’m lucky that I didn’t get everything I wanted in my life, or I’d be happy with my first good job, my college sweetheart, my college town.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Desire is a contract that you make with yourself to be unhappy until you get what you want.” Desire is a driver, a motivator. In fact, a sincere and uncompromising desire, placed above everything else, is nearly always fulfilled.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
We enjoy the comfort of opinion without the discomfort of thought.”—John F. Kennedy,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
What are bad recommendations you hear in your profession or area of expertise? “You’re too young.” Most of history was built by young people. They just got credit when they were older.,Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Action may not always bring happiness, but there is no happiness without action.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"The only way to truly learn something is by doing it. Yes, listen to guidance. But don’t wait.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Excellence is the next five minutes, improvement is the next five minutes, happiness is the next five minutes. This doesn’t mean you ignore planning. I encourage you to make huge, ambitious plans. Just remember that the big-beyond-belief things are accomplished when you deconstruct them into the smallest possible pieces and focus on each “moment of impact,” one step at a time. I’ve had a life full of doubts . . . mostly for no good reason.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"The power broker in your life is the voice that no one ever hears. How well you revisit the tone and content of your private voice is what determines the quality of your life. It is the master storyteller, and the stories we tell ourselves are our reality. For instance, how do you speak to yourself when you make a mistake that upsets you? Would you speak that way to a dear friend when they’ve made a mistake? If not, you have work to do. Trust me, we all have work to do.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
"Here is what Murakami has to say about running, which can be applied to anything: Pain is inevitable. Suffering is optional. Say you’re running and you think, “Man, this hurts, I can’t take it anymore.” The “hurt” part is an unavoidable reality, but whether or not you can stand anymore is up to the runner himself.",Tribe of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,[]
